,Country,Healthy Life Expectancy,Happiness Score,Peaceful Index,Education,Unemployment Rate
0,Afghanistan,0.361,3.203,3.569,0.414,11.2170000076294
1,Albania,0.874,4.719,1.764,0.746,11.4700002670288
2,Algeria,0.785,5.211,2.24,0.672,10.5129995346069
3,Argentina,0.881,6.086,1.987,0.855,9.84000015258789
4,Armenia,0.815,4.559,2.169,0.740,18.2999992370605
5,Australia,1.036,7.228,1.453,0.924,5.15999984741211
6,Austria,1.016,7.246,1.256,0.865,4.48999977111816
7,Azerbaijan,0.769,5.208,2.405,0.711,4.84999990463257
8,Bahrain,0.871,6.199,2.262,0.769,1.19599997997284
9,Bangladesh,0.723,4.456,2.142,0.529,4.43800020217896
10,Belarus,0.789,5.323,2.103,0.838,4.15999984741211
11,Belgium,0.986,6.923,1.531,0.902,5.3600001335144
12,Benin,0.397,4.883,1.938,0.478,1.47000002861023
13,Bhutan,0.604,5.082,1.51,0.496,2.50200009346008
14,Bosnia and Herzegovina,0.845,5.386,1.949,0.711,15.6899995803833
15,Botswana,0.538,3.488,1.76,0.676,22.6100006103516
16,Brazil,0.802,6.300,2.364,0.694,11.9300003051758
17,Bulgaria,0.815,5.011,1.599,0.779,4.23000001907349
18,Burkina Faso,0.380,4.587,2.166,0.312,4.69299983978271
19,Burundi,0.380,3.775,2.512,0.417,1.58899998664856
20,Cambodia,0.637,4.700,2.001,0.484,0.146999999880791
21,Cameroon,0.331,5.044,2.579,0.547,3.63800001144409
22,Canada,1.039,7.278,1.338,0.894,5.65999984741211
23,Central African Republic,0.105,3.083,3.231,0.353,5.6230001449585
24,Chad,0.192,4.350,2.461,0.288,1.12300002574921
25,Chile,0.920,6.444,1.666,0.810,7.28999996185303
26,China,0.893,5.191,2.056,0.657,4.51999998092651
27,Colombia,0.841,6.125,2.641,0.682,9.96000003814697
28,Costa Rica,0.963,7.167,1.734,0.726,11.4899997711182
29,Croatia,0.914,5.432,1.568,0.805,6.61999988555908
30,Cyprus,1.042,6.046,1.884,0.827,7.07000017166138
31,Denmark,0.996,7.600,1.272,0.920,5.01999998092651
32,Dominican Republic,0.779,5.425,2.047,0.666,6.3600001335144
33,Ecuador,0.868,6.028,1.948,0.702,3.80999994277954
34,El Salvador,0.789,6.253,2.179,0.555,4.17000007629395
35,Estonia,0.874,5.893,1.651,0.882,4.44999980926514
36,Ethiopia,0.532,4.286,2.473,0.341,2.32599997520447
37,Finland,0.986,7.769,1.43,0.927,6.69000005722046
38,France,1.045,6.592,1.884,0.817,8.40999984741211
39,Gabon,0.571,4.799,2.155,0.650,20.742000579834
40,Georgia,0.752,4.519,2.04,0.862,11.5699996948242
41,Germany,0.987,6.985,1.553,0.943,3.14000010490417
42,Ghana,0.486,4.996,1.745,0.563,4.31599998474121
43,Greece,0.999,5.287,1.931,0.849,17.3099994659424
44,Guatemala,0.746,6.436,2.216,0.519,2.19000005722046
45,Guinea,0.375,4.534,2.082,0.354,5.01999998092651
46,Haiti,0.449,3.597,2.081,0.456,13.914999961853
47,Honduras,0.828,5.860,2.288,0.499,5.69999980926514
48,Hungary,0.828,5.758,1.503,0.821,3.42000007629395
49,Iceland,1.026,7.494,1.093,0.926,3.50999999046326
50,India,0.588,4.015,2.572,0.555,5.26999998092651
51,Indonesia,0.660,5.192,1.725,0.650,3.61999988555908
52,Iraq,0.574,4.437,3.289,0.557,12.8629999160767
53,Ireland,0.999,7.021,1.383,0.922,4.94999980926514
54,Israel,1.029,7.139,2.746,0.883,3.79999995231628
55,Italy,1.039,6.223,1.678,0.793,9.94999980926514
56,Jamaica,0.831,5.890,1.971,0.689,7.69000005722046
57,Japan,1.088,5.886,1.398,0.851,2.40000009536743
58,Jordan,0.815,4.906,1.939,0.667,16.8099994659424
59,Kazakhstan,0.729,5.809,1.92,0.830,4.80000019073486
60,Kenya,0.581,4.509,2.323,0.534,5.01000022888184
61,Kuwait,0.808,6.021,1.751,0.638,2.16700005531311
62,Latvia,0.812,5.940,1.674,0.883,6.30999994277954
63,Lebanon,0.815,5.197,2.815,0.604,11.3500003814697
64,Lesotho,0.168,3.802,2.198,0.532,22.4400005340576
65,Liberia,0.443,3.975,1.86,0.426,3.01500010490417
66,Libya,0.673,5.525,3.197,0.610,19.6550006866455
67,Lithuania,0.818,6.149,1.689,0.898,6.26000022888184
68,Madagascar,0.555,3.933,1.896,0.486,1.85699999332428
69,Malawi,0.495,3.410,1.805,0.470,5.7519998550415
70,Malaysia,0.828,5.339,1.577,0.726,3.25999999046326
71,Mali,0.308,4.390,2.674,0.286,7.44199991226196
72,Mauritania,0.489,4.490,2.29,0.396,10.3929996490479
73,Mauritius,0.798,5.888,1.591,0.736,6.32999992370605
74,Mexico,0.861,6.595,2.514,0.703,3.48000001907349
75,Mongolia,0.667,5.285,1.838,0.736,5.43900012969971
76,Montenegro,0.871,5.523,1.877,0.803,15.1199998855591
77,Morocco,0.782,5.208,2.03,0.569,9.27999973297119
78,Mozambique,0.390,4.466,2.147,0.395,3.46600008010864
79,Myanmar,0.555,4.360,2.374,0.464,0.5
80,Namibia,0.477,4.639,1.925,0.584,19.988000869751
81,Nepal,0.677,4.913,2.011,0.521,3.09699988365173
82,Netherlands,0.999,7.488,1.483,0.914,3.38000011444092
83,New Zealand,1.026,7.307,1.231,0.926,4.1100001335144
84,Nicaragua,0.835,6.105,2.311,0.573,5.21099996566772
85,Niger,0.366,4.628,2.404,0.249,0.554000020027161
86,Nigeria,0.245,5.265,2.767,0.499,8.52999973297119
87,North Macedonia,0.838,5.274,1.861,0.704,17.2600002288818
88,Norway,1.028,7.554,1.474,0.930,3.69000005722046
89,Pakistan,0.535,5.653,2.965,0.402,3.54200005531311
90,Panama,0.910,6.321,1.821,0.700,4.72599983215332
91,Paraguay,0.777,5.743,2.07,0.638,6.59000015258789
92,Peru,0.854,5.697,2.051,0.740,3.38000011444092
93,Philippines,0.657,5.631,2.478,0.678,2.24000000953674
94,Poland,0.884,6.182,1.653,0.869,3.27999997138977
95,Portugal,0.999,5.693,1.241,0.768,6.46000003814697
96,Qatar,0.871,6.374,1.641,0.659,0.100000001490116
97,Romania,0.825,6.070,1.562,0.765,3.91000008583069
98,Rwanda,0.614,3.334,1.997,0.458,1.09800004959106
99,Saudi Arabia,0.795,6.375,2.408,0.789,5.6729998588562
100,Senegal,0.571,4.681,1.887,0.345,2.85999989509583
101,Serbia,0.854,5.603,1.737,0.783,10.3900003433228
102,Sierra Leone,0.242,4.374,1.817,0.406,4.64900016784668
103,Singapore,1.141,6.262,1.347,0.844,3.09999990463257
104,Slovenia,0.953,6.118,1.329,0.910,4.44999980926514
105,South Africa,0.469,4.722,2.405,0.724,28.4699993133545
106,South Sudan,0.295,2.853,3.385,0.307,12.2259998321533
107,Spain,1.062,6.354,1.682,0.831,14.1000003814697
108,Sri Lanka,0.831,4.366,1.959,0.746,4.34999990463257
109,Sweden,1.009,7.343,1.504,0.918,6.82999992370605
110,Switzerland,1.052,7.480,1.348,0.900,4.3899998664856
111,Tajikistan,0.718,5.467,2.133,0.682,7.06099987030029
112,Thailand,0.828,6.008,2.226,0.682,0.720000028610229
113,Togo,0.410,4.085,2.192,0.517,3.71900010108948
114,Tunisia,0.815,4.461,2.071,0.661,15.1300001144409
115,Turkey,0.808,5.373,2.898,0.731,13.6700000762939
116,Turkmenistan,0.657,5.247,2.216,0.653,4.26800012588501
117,Uganda,0.443,4.189,2.188,0.523,1.92499995231628
118,Ukraine,0.739,4.332,2.865,0.799,8.1899995803833
119,United Arab Emirates,0.825,6.825,1.766,0.802,2.23000001907349
120,United Kingdom,0.996,7.054,1.717,0.928,3.74000000953674
121,Uruguay,0.891,6.293,1.7,0.765,8.88000011444092
122,Uzbekistan,0.756,6.174,2.074,0.729,5.84999990463257
123,Zambia,0.426,4.107,1.824,0.557,12.5200004577637
124,Zimbabwe,0.433,3.663,2.406,0.587,4.83300018310547
